date,city,state,country,shape,duration_seconds,duration,comment,report_date,latitude,longitude
2014-01-20 18:00:00,litchfield park,az,us,oval,180.0,3 minutes,3 floating orange orbs in a V formation lasting about 3 minutes then diassapeard one after the other.,2014-01-24,33.4933333,-112.3572222
1972-09-15 17:00:00,montego bay (jamaica),,,sphere,10.0,10 seconds,Spherical&#44 yellow light near Montego Bay airport.,2002-09-06,18.466667,-77.916667
2013-02-11 23:49:00,tamborine mountain (australia),,,unknown,120.0,2 minutes,Bright Flashing UFO,2013-02-18,-27.927513,153.194305
2011-11-03 04:40:00,charlotte,nc,us,formation,60.0,1 minute,Two orange orbs flying NW to SE over Douglas Int. Airport.,2011-12-12,35.2269444,-80.8433333
1998-09-23 21:10:00,bothell (south of),wa,us,light,5.0,3-5 seconds,Object entered atmosphere from above&#44 traveling east to west.,1998-09-26,47.7625,-122.2041667
1990-07-15 01:00:00,lancaster,pa,us,other,1800.0,30 minutes,Massive sky full of various size UFO&#39s,2012-10-30,40.0377778,-76.3058333
1974-09-01 20:00:00,auburn/montgomery (between),al,,rectangle,1800.0,30 minutes,A flattened &quot;thread spool&quot; shaped object with alternating white and red lights passing approximately 500 feet above us. 1/2 hour durati,2003-10-31,32.369746,-86.176658
2000-01-22 23:00:00,san diego,ca,us,changing,7200.0,a few hours,As I was walking at the La Jolla cove&#44 I saw 3 star like objects at the horizon. They stayed there for about 10 minutes and then change,2000-02-16,32.7152778,-117.1563889
2007-11-08 21:30:00,cleveland,oh,us,light,300.0,5 min,Private Pilot/Amateur Astronomer Witnesses Satellite-like Object Make 2 Course Corrections,2007-11-28,41.4994444,-81.6955556
2011-10-10 20:00:00,middletown,ct,us,fireball,1200.0,15-20 minutes,Fireball Spinning Orange UFO,2011-10-19,41.5622222,-72.6511111
2012-06-10 22:20:00,salt lake city,ut,us,fireball,600.0,10 minute,Bright orange fireballs east of Salt Lake City&#44 UT,2012-06-14,40.7608333,-111.8902778
